epoch,train_loss,train_accuracy,train_f1,val_accuracy,val_f1
1,0.6995373324111656,0.522248243559719,0.33980582524271846,0.835820895522388,0.0
2,0.6896030063982364,0.5152224824355972,0.4420485175202156,0.8134328358208955,0.13793103448275862
3,0.6890875939969663,0.5409836065573771,0.4731182795698925,0.8208955223880597,0.14285714285714285
4,0.679130889751293,0.5491803278688525,0.40860215053763443,0.8134328358208955,0.3902439024390244
5,0.6679744455549452,0.5866510538641686,0.4675716440422323,0.7985074626865671,0.4
6,0.6591237386067709,0.5901639344262295,0.46319018404907975,0.7611940298507462,0.42857142857142855
7,0.6605390310287476,0.6053864168618267,0.5178826895565093,0.746268656716418,0.41379310344827586
8,0.6631744194913793,0.6147540983606558,0.5372714486638537,0.7611940298507462,0.4482758620689655
9,0.6476621716110794,0.6323185011709602,0.5662983425414365,0.753731343283582,0.42105263157894735
10,0.6623385438212642,0.6252927400468384,0.550561797752809,0.7985074626865671,0.49056603773584906
11,0.6529269748263888,0.6194379391100703,0.5323741007194245,0.7388059701492538,0.4262295081967213
12,0.6658995946248373,0.5784543325526932,0.4957983193277311,0.746268656716418,0.43333333333333335
13,0.6579207888355961,0.5936768149882904,0.5064011379800853,0.7761194029850746,0.4444444444444444
14,0.6552957627508376,0.6007025761124122,0.5107604017216643,0.7761194029850746,0.4444444444444444
15,0.6554319218352989,0.607728337236534,0.5234708392603129,0.7611940298507462,0.4482758620689655
16,0.6605539321899414,0.6088992974238876,0.5308988764044944,0.7611940298507462,0.4482758620689655
17,0.6371334614577117,0.6334894613583139,0.5457184325108854,0.7761194029850746,0.4444444444444444
18,0.6619686837549563,0.5936768149882904,0.5049928673323824,0.753731343283582,0.4406779661016949
19,0.6546783182356093,0.5971896955503513,0.5168539325842697,0.7761194029850746,0.4444444444444444
20,0.6620353658994039,0.5925058548009368,0.48672566371681414,0.7686567164179104,0.45614035087719296
