epoch,train_loss,train_accuracy,train_f1,val_accuracy,val_f1
1,0.699699267745018,0.741635687732342,0.37668161434977576,0.8507462686567164,0.0
2,0.5558847574626699,0.7955390334572491,0.46078431372549017,0.8507462686567164,0.0
3,0.5235508399851182,0.7732342007434945,0.45535714285714285,0.8507462686567164,0.0
4,0.530420753885718,0.775092936802974,0.45248868778280543,0.7761194029850746,0.5454545454545454
5,0.5637722138096305,0.7602230483271375,0.3827751196172249,0.7761194029850746,0.5454545454545454
6,0.5453112248112174,0.7936802973977695,0.4585365853658537,0.7761194029850746,0.5454545454545454
7,0.4989047786768745,0.8234200743494424,0.5128205128205128,0.8507462686567164,0.0
8,0.48562705604469075,0.8215613382899628,0.48936170212765956,0.8432835820895522,0.0
9,0.5187685998047099,0.7713754646840149,0.36923076923076925,0.7761194029850746,0.5454545454545454
10,0.5168333544450647,0.7899628252788105,0.4840182648401826,0.7761194029850746,0.5454545454545454
11,0.48375313071643605,0.8234200743494424,0.4808743169398907,0.7761194029850746,0.5454545454545454
12,0.4725426891270806,0.8327137546468402,0.5360824742268041,0.8507462686567164,0.0
13,0.4717475070672877,0.8568773234200744,0.5497076023391813,0.8880597014925373,0.6808510638297872
14,0.45886924599899964,0.8327137546468402,0.5360824742268041,0.7761194029850746,0.5454545454545454
15,0.4690065401441911,0.8587360594795539,0.5581395348837209,0.7761194029850746,0.5454545454545454
16,0.4905402502592872,0.8531598513011153,0.5485714285714286,0.7761194029850746,0.5454545454545454
17,0.45151156975942497,0.8494423791821561,0.5888324873096447,0.8582089552238806,0.24
18,0.4515690943774055,0.8717472118959108,0.6101694915254238,0.7761194029850746,0.5454545454545454
19,0.4776913856758791,0.8327137546468402,0.5408163265306123,0.7761194029850746,0.5454545454545454
20,0.4746235100662007,0.8048327137546468,0.5205479452054794,0.7835820895522388,0.5538461538461539
21,0.44484106933369355,0.862453531598513,0.5978260869565217,0.7835820895522388,0.5245901639344263
22,0.45395562578650084,0.8494423791821561,0.5668449197860963,0.7761194029850746,0.5454545454545454
23,0.45100704098449035,0.8605947955390335,0.5901639344262295,0.7761194029850746,0.5454545454545454
