epoch,train_loss,train_accuracy,train_f1,val_accuracy,val_f1
1,0.5111101205859866,0.4718969555035129,0.6288065843621399,0.14925373134328357,0.2597402597402597
2,0.45982461103371214,0.4637002341920375,0.6324237560192616,0.3358208955223881,0.31007751937984496
3,0.3687021881341934,0.5128805620608899,0.6527545909849749,0.16417910447761194,0.2631578947368421
4,0.4063144900969097,0.5772833723653396,0.6813768755516328,0.4552238805970149,0.34234234234234234
5,0.36673437910420553,0.5819672131147541,0.6821015138023152,0.6791044776119403,0.44155844155844154
6,0.34490872280938284,0.617096018735363,0.6980609418282548,0.6716417910447762,0.40540540540540543
7,0.337383223431451,0.5983606557377049,0.6901535682023487,0.5597014925373134,0.40404040404040403
8,0.3180096298456192,0.6510538641686182,0.71939736346516,0.8805970149253731,0.4666666666666667
9,0.3431584984064102,0.6838407494145199,0.736328125,0.5671641791044776,0.3958333333333333
10,0.3241962215730122,0.65807962529274,0.7224334600760456,0.21641791044776118,0.27586206896551724
11,0.31226099176066263,0.702576112412178,0.75,0.5223880597014925,0.38461538461538464
12,0.3017191354717527,0.6733021077283372,0.7325023969319271,0.6791044776119403,0.45569620253164556
13,0.31225584021636416,0.7002341920374707,0.7445109780439122,0.835820895522388,0.5925925925925926
14,0.30769505883966175,0.6604215456674473,0.7274436090225563,0.753731343283582,0.5217391304347826
15,0.28221377411058973,0.6908665105386417,0.7416829745596869,0.6417910447761194,0.4146341463414634
16,0.30290202370711733,0.7060889929742389,0.7512388503468781,0.2462686567164179,0.28368794326241137
17,0.2933076630745615,0.6768149882903981,0.7346153846153847,0.5746268656716418,0.3870967741935484
18,0.2638044250862939,0.7377049180327869,0.7737373737373737,0.7835820895522388,0.5245901639344263
19,0.3013887458613941,0.6955503512880562,0.748062015503876,0.5373134328358209,0.3673469387755102
20,0.26353740053517477,0.734192037470726,0.771859296482412,0.7388059701492538,0.4927536231884058
21,0.2776800404701914,0.7377049180327869,0.7714285714285715,0.47761194029850745,0.35185185185185186
22,0.2646696014063699,0.7412177985948478,0.775178026449644,0.27611940298507465,0.291970802919708
23,0.2518877259322575,0.7224824355971897,0.7687804878048781,0.8134328358208955,0.576271186440678
24,0.2613060719200543,0.775175644028103,0.7983193277310925,0.5298507462686567,0.3883495145631068
25,0.25132256214107784,0.7587822014051522,0.7893660531697342,0.5447761194029851,0.3711340206185567
26,0.24202878986086165,0.7634660421545667,0.7947154471544715,0.7238805970149254,0.4931506849315068
27,0.23651870446545736,0.7868852459016393,0.8084210526315789,0.7388059701492538,0.4927536231884058
28,0.22596181982329913,0.8032786885245902,0.8224101479915433,0.7164179104477612,0.4864864864864865
29,0.21517451107501984,0.7927400468384075,0.8150470219435737,0.5970149253731343,0.38636363636363635
30,0.2165087355034692,0.8138173302107728,0.8288482238966631,0.7164179104477612,0.45714285714285713
31,0.21576392224856786,0.7833723653395784,0.8090815273477813,0.753731343283582,0.5074626865671642
32,0.2352888360619545,0.8009367681498829,0.8183760683760684,0.373134328358209,0.3225806451612903
33,0.2244227879813739,0.7669789227166276,0.7963152507676561,0.6343283582089553,0.3950617283950617
34,0.1969124057463237,0.8290398126463701,0.841304347826087,0.6492537313432836,0.4470588235294118
35,0.18544966621058329,0.8243559718969555,0.8397435897435898,0.6940298507462687,0.4675324675324675
36,0.2043215110898018,0.8044496487119438,0.8217716115261473,0.7761194029850746,0.4827586206896552
37,0.1852990569812911,0.8290398126463701,0.8433476394849786,0.6791044776119403,0.45569620253164556
38,0.18540716277701513,0.8255269320843092,0.8392664509169363,0.6791044776119403,0.410958904109589
39,0.1826655321887561,0.8372365339578455,0.8494041170097508,0.664179104477612,0.43037974683544306
40,0.16776408574410848,0.8536299765807962,0.861878453038674,0.6940298507462687,0.4533333333333333
41,0.165396086871624,0.8594847775175644,0.8666666666666667,0.7164179104477612,0.45714285714285713
42,0.163699031408344,0.8665105386416861,0.8730512249443207,0.746268656716418,0.45161290322580644
43,0.15918138516800745,0.8594847775175644,0.8675496688741722,0.6865671641791045,0.43243243243243246
44,0.1568697052342551,0.8665105386416861,0.8738938053097345,0.7313432835820896,0.41935483870967744
45,0.1741839913385255,0.8594847775175644,0.8657718120805369,0.753731343283582,0.4406779661016949
46,0.1673608688371522,0.8629976580796253,0.8695652173913043,0.7313432835820896,0.45454545454545453
47,0.1612291405243533,0.8501170960187353,0.8593406593406593,0.7388059701492538,0.4927536231884058
48,0.15600596421531268,0.8688524590163934,0.8747203579418344,0.746268656716418,0.45161290322580644
49,0.15072950454694883,0.8735362997658079,0.8791946308724832,0.7611940298507462,0.4838709677419355
50,0.15808170874203956,0.870023419203747,0.8756998880179171,0.7388059701492538,0.46153846153846156
