epoch,train_loss,train_accuracy,train_f1,val_accuracy,val_f1
1,0.6549171187259533,0.45081967213114754,0.5960378983634798,0.8507462686567164,0.0
2,0.5981285549976207,0.46252927400468385,0.6325060048038431,0.14925373134328357,0.2597402597402597
3,0.5560357062904923,0.46252927400468385,0.6325060048038431,0.14925373134328357,0.2597402597402597
4,0.5136724412441254,0.46252927400468385,0.6325060048038431,0.14925373134328357,0.2597402597402597
5,0.4846930448655729,0.46252927400468385,0.6325060048038431,0.14925373134328357,0.2597402597402597
6,0.4729599831280885,0.46252927400468385,0.6325060048038431,0.14925373134328357,0.2597402597402597
7,0.46518027782440186,0.46252927400468385,0.6325060048038431,0.14925373134328357,0.2597402597402597
8,0.46263456786120377,0.46252927400468385,0.6325060048038431,0.14925373134328357,0.2597402597402597
9,0.4575917025407155,0.46252927400468385,0.6325060048038431,0.14925373134328357,0.2597402597402597
10,0.4590814974572923,0.46252927400468385,0.6325060048038431,0.14925373134328357,0.2597402597402597
11,0.4529120922088623,0.46252927400468385,0.6325060048038431,0.14925373134328357,0.2597402597402597
12,0.4597012555157697,0.46252927400468385,0.6325060048038431,0.14925373134328357,0.2597402597402597
