epoch,train_loss,train_accuracy,train_f1,val_accuracy,val_f1
1,0.6231100901961326,0.7390599675850892,0.06936416184971098,0.8507462686567164,0.0
2,0.5780795902013779,0.7406807131280388,0.0,0.8507462686567164,0.0
3,0.5605762645602226,0.7439222042139384,0.0,0.8507462686567164,0.0
4,0.5624060779809952,0.7439222042139384,0.0,0.8507462686567164,0.0
5,0.5659255862236023,0.7439222042139384,0.0,0.8507462686567164,0.0
6,0.5724528893828392,0.7439222042139384,0.0,0.8507462686567164,0.0
7,0.5588725879788399,0.7439222042139384,0.0,0.8507462686567164,0.0
8,0.5582822099328041,0.7439222042139384,0.0,0.8507462686567164,0.0
9,0.5705684587359429,0.7439222042139384,0.0,0.8507462686567164,0.0
10,0.5573064118623734,0.7439222042139384,0.0,0.8507462686567164,0.0
