epoch,train_loss,train_accuracy,train_f1,val_accuracy,val_f1
1,0.6093067601323128,0.7439222042139384,0.024691358024691357,0.8507462686567164,0.0
2,0.5804363653063774,0.7439222042139384,0.0,0.8507462686567164,0.0
3,0.5790444284677505,0.7439222042139384,0.0,0.8507462686567164,0.0
4,0.5709518805146218,0.7455429497568882,0.012578616352201259,0.8507462686567164,0.0
5,0.57973463088274,0.7439222042139384,0.0,0.8507462686567164,0.0
6,0.5724181607365608,0.7439222042139384,0.0,0.8507462686567164,0.0
7,0.572241185605526,0.7439222042139384,0.0,0.8507462686567164,0.0
8,0.5610343366861343,0.7439222042139384,0.0,0.8507462686567164,0.0
9,0.5724461555480957,0.7439222042139384,0.0,0.8507462686567164,0.0
10,0.5618914037942886,0.7439222042139384,0.0,0.8507462686567164,0.0
